상가업소번호,상호명,상권업종소분류명,시군구명,행정동명,도로명주소,경도,위도
MA010120220808075551,엠시드,카페,유성구,진잠동,대전광역시 유성구 진잠로106번길 5-11,127.3153774,36.30149289
MA010120220807138824,꼬망세,카페,유성구,온천2동,대전광역시 유성구 어은로 57,127.353656,36.36353105
MA010120220813953054,쥬씨,카페,유성구,온천1동,대전광역시 유성구 계룡로 92,127.340598,36.35346682
MA010120220806229455,엘,카페,유성구,신성동,대전광역시 유성구 대덕대로 530,127.3791851,36.38007037
MA010120220813550886,드림커피랩,카페,유성구,온천1동,대전광역시 유성구 대학로 34,127.3430287,36.35646078
MA010120220808207417,샵우무리롤앤코,카페,유성구,진잠동,대전광역시 유성구 한우물로66번길 11,127.3261189,36.31166546
MA010120220806510618,조은차마시는사람들,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로42번길 19-22,127.3395461,36.3369963
MA010120220813831225,더봄,카페,유성구,진잠동,대전광역시 유성구 대정로42번길 68-7,127.322234,36.3146499
MA010120220802284563,오스트리아빈,카페,유성구,노은1동,대전광역시 유성구 갑동로 13,127.2888344,36.36159659
MA010120220802145731,피오라토,카페,유성구,온천1동,대전광역시 유성구 월드컵대로321번길 36,127.3366075,36.35039611
MA010120220808248600,오토카페,카페,유성구,상대동,대전광역시 유성구 복용동로 35,127.3203268,36.33839211
MA010120220810239830,카페레오,카페,유성구,학하동,대전광역시 유성구 수통골로55번길 52,127.292457,36.34709685
MA010120220811707313,수한,카페,유성구,원신흥동,대전광역시 유성구 동서대로 639,127.3336482,36.33305674
MA010120220806234570,커피인,카페,유성구,노은3동,대전광역시 유성구 반석동로40번길 11,127.312507,36.39122166
MA010120220812858394,키우키우,카페,유성구,온천2동,대전광역시 유성구 죽동로298번길 25,127.3373056,36.37018393
MA010120220812792385,커피투홈,카페,유성구,노은3동,대전광역시 유성구 지족북로 45,127.3040498,36.38907166
MA010120220809660158,쇼콜라,카페,유성구,학하동,대전광역시 유성구 덕명서로2번길 63-3,127.303788,36.35900016
MA010120220804321555,카페온도,카페,유성구,노은3동,대전광역시 유성구 반석로11번길 31,127.3138635,36.39038902
MA010120220809726183,릴리스,카페,유성구,노은1동,대전광역시 유성구 왕가봉로2번길 27-29,127.3168253,36.36491406
MA0101202209A0071844,오디,카페,유성구,전민동,대전광역시 유성구 전민로22번길 22,127.4027667,36.39729562
MA0101202209A0094322,이디야커피,카페,유성구,신성동,대전광역시 유성구 자운로97번길 290,127.3378825,36.40822071
MA0101202209A0094605,커피왕국,카페,유성구,관평동,대전광역시 유성구 테크노5로 10,127.3937166,36.43067791
MA0101202209A0041819,디저트39대전,카페,유성구,온천2동,대전광역시 유성구 죽동로279번길 42,127.3399045,36.37076233
MA010120220805387072,스캠프커피,카페,유성구,온천2동,대전광역시 유성구 죽동로279번길 63-4,127.3399314,36.37182564
MA010120220806351708,도자기랑,카페,유성구,관평동,대전광역시 유성구 관들5길 74,127.3941301,36.4220344
MA010120220813401196,안단테인터뷰,카페,유성구,관평동,대전광역시 유성구 테크노중앙로 57,127.3921,36.42633062
MA010120220800896775,빽다방,카페,유성구,노은3동,대전광역시 유성구 북유성대로 303,127.3142475,36.39163163
MA010120220806351081,컨베이어스,카페,유성구,노은2동,대전광역시 유성구 노은로 174,127.3184384,36.37521019
MA010120220812247142,공차대전,카페,유성구,전민동,대전광역시 유성구 유성대로 1734,127.4018188,36.39938051
MA010120220814081796,공차대전,카페,유성구,온천2동,대전광역시 유성구 죽동로279번길 34,127.3397239,36.37023115
MA0101202209A0093408,카페042,카페,유성구,신성동,대전광역시 유성구 엑스포로 87,127.3893801,36.37514422
MA0101202209A0083504,인터뷰,카페,유성구,온천2동,대전광역시 유성구 한밭대로371번길 25-1,127.3411698,36.36451359
MA0101202209A0073045,투썸플레이스대전,카페,유성구,신성동,대전광역시 유성구 가정로 93,127.353678,36.38562773
MA010120220813211808,호유즈,카페,유성구,학하동,대전광역시 유성구 학산로 99,127.300915,36.33623468
MA0101202209A0002762,30초커피,카페,유성구,온천2동,대전광역시 유성구 궁동로18번길 70,127.3512343,36.36269109
MA0101202209A0100206,커피린,카페,유성구,노은1동,대전광역시 유성구 노은동로75번길 85-30,127.3185758,36.36791933
MA010120220806030148,넛지,카페,유성구,신성동,대전광역시 유성구 신성로71번길 60,127.3499047,36.39170372
MA010120220805208088,페리토에스프레소바,카페,유성구,온천1동,대전광역시 유성구 계룡로74번길 54,127.3380635,36.35219435
MA010120220806622795,주헤히스,카페,유성구,노은3동,대전광역시 유성구 지족로349번길 54,127.3172959,36.38749621
MA010120220808209263,파스쿠찌,카페,유성구,신성동,대전광역시 유성구 엑스포로123번길 46-15,127.3938368,36.37718428
MA010120220806246514,디우스,카페,유성구,신성동,대전광역시 유성구 엑스포로123번길 27-22,127.3922829,36.37621612
MA010120220814079149,영탑,카페,유성구,온천2동,대전광역시 유성구 대학로 99,127.3420001,36.36836824
MA010120220813435046,나가수한방카페,카페,유성구,학하동,대전광역시 유성구 학하중앙로160번길 12,127.3092928,36.3395116
MA010120220811674497,쿠루미,카페,유성구,신성동,대전광역시 유성구 신성남로111번길 6,127.3517722,36.39058979
MA010120220806730016,브알라카페,카페,유성구,신성동,대전광역시 유성구 엑스포로151번길 19,127.3953806,36.37615184
MA0101202209A0037723,키즈다쿵2,카페,유성구,노은3동,대전광역시 유성구 지족로 298,127.309695,36.38761528
MA0101202209A0057572,슈어띵,카페,유성구,관평동,대전광역시 유성구 관용로 101-25,127.3873001,36.4141265
MA010120220803165863,그집,카페,유성구,노은1동,대전광역시 유성구 은구비서로23번길 32,127.3199532,36.37503492
MA010120220811084925,인시티커피로스터즈,카페,유성구,전민동,대전광역시 유성구 전민로22번길 38,127.4027706,36.39804358
MA010120220806350424,설빙,카페,유성구,노은1동,대전광역시 유성구 은구비남로33번길 62,127.3195412,36.3750991
MA010120220805818814,에르코스법인,카페,유성구,원신흥동,대전광역시 유성구 도안동로 329,127.3475555,36.33468428
MA010120220813200827,구암동239,카페,유성구,온천1동,대전광역시 유성구 유성대로 617-18,127.3259102,36.34978592
MA010120220806231284,아웃스탠딩커피,카페,유성구,구즉동,대전광역시 유성구 와룡로136번길 75,127.3849553,36.43826724
MA010120220803215586,르호봇,카페,유성구,관평동,대전광역시 유성구 관용로 50,127.3818284,36.41465778
MA010120220808519732,예빛,카페,유성구,온천1동,대전광역시 유성구 계룡로141번길 35,127.3462826,36.35409032
MA010120220806231473,까페플랜,카페,유성구,노은1동,대전광역시 유성구 은구비남로7번길 65,127.3163767,36.37519764
MA010120220812734269,시크릿가든,카페,유성구,학하동,대전광역시 유성구 수통골로71번길 37,127.2911654,36.34728024
MA010120220812337536,파스쿠찌대전코젤,카페,유성구,진잠동,대전광역시 유성구 계백로 927,127.3267646,36.30095764
MA010120220802651177,너랑나랑,카페,유성구,온천2동,대전광역시 유성구 유성대로730번길 24,127.3339208,36.35777526
MA010120220812342733,태양커피,카페,유성구,신성동,대전광역시 유성구 엑스포로 1,127.3821814,36.37518549
MA010120220813747868,나폴리에스프레소,카페,유성구,관평동,대전광역시 유성구 관들1길 8-10,127.388226,36.42542409
MA010120220806487025,빽다방대전,카페,유성구,전민동,대전광역시 유성구 문지로299번길 119,127.4064307,36.39450762
MA010120220804322279,오케이24시무인커피,카페,유성구,온천2동,대전광역시 유성구 죽동로279번길 101,127.3390543,36.3725761
MA010120220807161821,카페랑희,카페,유성구,전민동,대전광역시 유성구 전민로 42,127.4004554,36.39652839
MA010120220806231651,씨엔디오,카페,유성구,노은2동,대전광역시 유성구 송림로53번길 104,127.3251075,36.38714177
MA010120220802271705,카페소신,카페,유성구,온천2동,대전광역시 유성구 농대로15번길 7,127.3526781,36.36164148
MA010120220814046326,누앙스,카페,유성구,전민동,대전광역시 유성구 문지로 319-16,127.4060901,36.39544599
MA010120220803236115,셀로스터즈,카페,유성구,온천2동,대전광역시 유성구 장대로71번길 9,127.3348031,36.36088185
MA010120220813159852,모리스커피,카페,유성구,관평동,대전광역시 유성구 관들4길 16,127.3929687,36.42390363
MA010120220811943468,할리스커피,카페,유성구,온천1동,대전광역시 유성구 온천로 45,127.3433838,36.35613534
MA010120220803011492,봉명다방,카페,유성구,온천1동,대전광역시 유성구 계룡로88번길 56,127.3393754,36.35156882
MA010120220812688763,제트제트커피,카페,유성구,진잠동,대전광역시 유성구 진잠로74번길 43,127.3189409,36.29897814
MA010120220812929866,1층커피집파라티,카페,유성구,원신흥동,대전광역시 유성구 계룡로 114,127.3429786,36.35266698
MA010120220811675913,커피상회,카페,유성구,관평동,대전광역시 유성구 테크노10로 57,127.4079279,36.41649997
MA010120220812735868,빽다방대전관평중점,카페,유성구,관평동,대전광역시 유성구 테크노4로 115,127.3891689,36.42442073
MA010120220808426195,올텐실내양궁장카페,카페,유성구,노은1동,대전광역시 유성구 은구비남로33번길 47-8,127.3188926,36.37456013
MA010120220808767537,구씨커피,카페,유성구,원신흥동,대전광역시 유성구 봉명서로 17-4,127.3415378,36.344164
MA010120220803121851,디에떼에스프레소,카페,유성구,구즉동,대전광역시 유성구 송강로 10,127.3866667,36.43253031
MA010120220806230708,메이트로즈카페,카페,유성구,온천1동,대전광역시 유성구 문화원로 77,127.3444565,36.35938549
MA010120220811786154,까페펠리쓰,카페,유성구,온천2동,대전광역시 유성구 궁동로 20,127.3475922,36.36299913
MA010120220803670667,콘트라,카페,유성구,온천2동,대전광역시 유성구 어은로52번길 1,127.3573321,36.3633579
MA010120220806560474,챗머치,카페,유성구,노은2동,대전광역시 유성구 은구비로155번길 32-7,127.3246866,36.37971726
MA010120220807413130,그린브라우니,카페,유성구,노은2동,대전광역시 유성구 송림로 41,127.3227806,36.38774285
MA010120220805140181,위킷,카페,유성구,온천2동,대전광역시 유성구 궁동로10번길 8,127.3478552,36.36199806
MA010120220804534045,시즈더포슬,카페,유성구,관평동,대전광역시 유성구 관평2로 14,127.3902103,36.42530047
MA010120220810391719,양자커피,카페,유성구,신성동,대전광역시 유성구 가정로 83,127.3526962,36.38540534
MA010120220802474824,원더커피,카페,유성구,신성동,대전광역시 유성구 자운로 90,127.3464877,36.40034688
MA010120220805418211,디에떼에스프레소,카페,유성구,신성동,대전광역시 유성구 가정로 85,127.3528972,36.38547684
MA010120220803724567,정인투썸플레이스,카페,유성구,신성동,대전광역시 유성구 신성로 119,127.3517512,36.39333842
MA010120220804199636,뜨레돌체,카페,유성구,학하동,대전광역시 유성구 수통골로 47-7,127.2890546,36.34582546
MA010120220814103322,투썸플레이스대전,카페,유성구,노은3동,대전광역시 유성구 반석로 7,127.3138794,36.39157852
MA010120220808764295,사운드빈,카페,유성구,진잠동,대전광역시 유성구 대정로28번안길 71,127.3211018,36.31280552
MA010120220802934772,해이컴퍼니,카페,유성구,학하동,대전광역시 유성구 학하서로77번길 9,127.2979944,36.34441569
MA010120220805280339,와싱톤커피로스터리,카페,유성구,진잠동,대전광역시 유성구 원내로 13,127.3172399,36.29955041
MA010120220812996622,피오레카페,카페,유성구,온천2동,대전광역시 유성구 대학로76번길 13,127.3450848,36.36037497
MA010120220812773234,파스쿠찌,카페,유성구,온천1동,대전광역시 유성구 계룡로 92,127.340598,36.35346682
MA010120220806861624,베리로찌대전,카페,유성구,관평동,대전광역시 유성구 탑립로 1,127.3947327,36.4111193
MA010120220806175986,디에떼,카페,유성구,진잠동,대전광역시 유성구 진잠로139번길 6,127.3170108,36.30347117
MA010120220810031082,설빙,카페,유성구,온천1동,대전광역시 유성구 대학로 14,127.3423315,36.35499386
MA010120220808421368,아임일리터,카페,유성구,신성동,대전광역시 유성구 신성남로 59,127.3504756,36.38729532
MA010120220802916286,텀브커피,카페,유성구,관평동,대전광역시 유성구 테크노3로 66,127.3895085,36.42990771
MA010120220804843720,홍커뮤니케이션즈,카페,유성구,신성동,대전광역시 유성구 가정로 306-7,127.3768697,36.38523239
MA010120220805542185,카페1027,카페,유성구,노은2동,대전광역시 유성구 송림로58번길 8,127.3237005,36.38648773
MA010120220813966740,보이차이야기,카페,유성구,노은3동,대전광역시 유성구 지족로 299,127.3097525,36.38806572
MA010120220806756922,쉬즈베이글커피,카페,유성구,원신흥동,대전광역시 유성구 계룡로132번길 10,127.3445587,36.35223888
MA010120220806904957,메가커피,카페,유성구,노은1동,대전광역시 유성구 노은로 158,127.3184098,36.37367827
MA010120220809673806,커스텀커피,카페,유성구,전민동,대전광역시 유성구 문지로316번길 20,127.4079594,36.39479979
MA010120220806717364,빽다방,카페,유성구,진잠동,대전광역시 유성구 원내로 38,127.3198233,36.2996697
MA010120220805199713,온천커피,카페,유성구,온천1동,대전광역시 유성구 온천로 3,127.3382021,36.35589779
MA010120220806218741,커피에스티,카페,유성구,관평동,대전광역시 유성구 테크노중앙로 88-14,127.3921729,36.42530305
MA010120220805141671,바닐라베이크,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로27번길 13,127.337264,36.33470476
MA010120220808014151,토미커피딸망케이크,카페,유성구,노은3동,대전광역시 유성구 지족북로6번길 1,127.3038271,36.38625156
MA010120220806221389,커피돌,카페,유성구,온천2동,대전광역시 유성구 어은로48번길 5,127.3574302,36.36287098
MA010120220812233927,오너커피,카페,유성구,신성동,대전광역시 유성구 엑스포로151번길 19,127.3953806,36.37615184
MA010120220808526884,커피사랑,카페,유성구,온천2동,대전광역시 유성구 문화원로10번길 34,127.3373173,36.35998261
MA010120220811969964,당당과자점,카페,유성구,온천2동,대전광역시 유성구 대학로 88,127.3448106,36.36135804
MA010120220803787022,케이비시언커피앤북스,카페,유성구,온천2동,대전광역시 유성구 과학로 169-148,127.3556948,36.37327569
MA010120220800537736,이디야커피,카페,유성구,온천2동,대전광역시 유성구 유성대로 875,127.3395658,36.36974497
MA010120220800759840,30초커피,카페,유성구,온천1동,대전광역시 유성구 유성대로680번길 88,127.3352371,36.35295029
MA010120220811382510,투썸플레이스,카페,유성구,온천2동,대전광역시 유성구 유성대로 756,127.3350879,36.35974557
MA010120220806228627,홀릭스,카페,유성구,구즉동,대전광역시 유성구 구즉로54번길 10,127.3858135,36.43365953
MA010120220806195484,카페달,카페,유성구,학하동,대전광역시 유성구 학하복용로 112,127.3150573,36.34369604
MA010120220812426740,카페메이데이,카페,유성구,노은2동,대전광역시 유성구 은구비로155번안길 21-1,127.3258246,36.38002957
MA010120220806217163,까페그린빈,카페,유성구,온천1동,대전광역시 유성구 계룡로 55,127.3371671,36.35616205
MA010120220805644626,맷차,카페,유성구,신성동,대전광역시 유성구 대덕대로 480,127.3872033,36.37662921
MA010120220809915220,브리드커피,카페,유성구,학하동,대전광역시 유성구 동서대로 125,127.3052496,36.34527152
MA010120220809278208,커먼비,카페,유성구,진잠동,대전광역시 유성구 계백로153번길 4-15,127.2691333,36.27355196
MA010120220807219315,준유,카페,유성구,신성동,대전광역시 유성구 대덕대로 554,127.3788846,36.38245041
MA010120220809870722,카페블레스롤대전,카페,유성구,전민동,대전광역시 유성구 엑스포로 236,127.4053383,36.37730802
MA010120220813720789,커피홀유성,카페,유성구,학하동,대전광역시 유성구 학하로30번길 59,127.3041757,36.33837123
MA010120220812293959,카페더제이,카페,유성구,노은3동,대전광역시 유성구 지족동로 174,127.3080296,36.38925972
MA010120220813221606,작품하나인카페,카페,유성구,진잠동,대전광역시 유성구 진잠로 123-1,127.3153932,36.30267339
MA010120220811755678,카페코이,카페,유성구,노은2동,대전광역시 유성구 은구비로155번안길 47,127.3266515,36.38054999
